ოლქი - სუბიექტი,1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,22,23,25,26,27,28,30,41
#12 მაჟ. ოლქი,"569
(3.01%)","10
(0.05%)","908
(4.81%)","29
(0.15%)","5159
(27.36%)","280
(1.48%)","30
(0.15%)","1195
(6.33%)","1037
(5.49%)","6
(0.03%)","38
(0.2%)","72
(0.38%)","9
(0.04%)","11
(0.05%)","31
(0.16%)","43
(0.22%)","132
(0.7%)","13
(0.06%)","23
(0.12%)","8
(0.04%)","74
(0.39%)","1127
(5.97%)","35
(0.18%)","11
(0.05%)","8005
(42.45%)"
#13 მაჟ. ოლქი,"476
(2.6%)","6
(0.03%)","772
(4.22%)","6
(0.03%)","4673
(25.55%)","166
(0.9%)","26
(0.14%)","1622
(8.87%)","1055
(5.77%)","11
(0.06%)","17
(0.09%)","54
(0.29%)","5
(0.02%)","9
(0.04%)","17
(0.09%)","38
(0.2%)","121
(0.66%)","6
(0.03%)","11
(0.06%)","6
(0.03%)","76
(0.41%)","955
(5.22%)","7
(0.03%)","10
(0.05%)","8138
(44.51%)"
#14 მაჟ. ოლქი,"582
(2.61%)","50
(0.22%)","958
(4.3%)","25
(0.11%)","4688
(21.06%)","444
(1.99%)","32
(0.14%)","1206
(5.41%)","726
(3.26%)","10
(0.04%)","34
(0.15%)","69
(0.3%)","13
(0.05%)","19
(0.08%)","19
(0.08%)","38
(0.17%)","146
(0.65%)","19
(0.08%)","14
(0.06%)","14
(0.06%)","101
(0.45%)","1189
(5.34%)","30
(0.13%)","7
(0.03%)","11826
(53.12%)"
#15 მაჟ. ოლქი,"558
(2.57%)","9
(0.04%)","966
(4.45%)","37
(0.17%)","4478
(20.64%)","711
(3.27%)","43
(0.19%)","1165
(5.37%)","526
(2.42%)","3
(0.01%)","13
(0.05%)","84
(0.38%)","12
(0.05%)","15
(0.06%)","24
(0.11%)","37
(0.17%)","159
(0.73%)","17
(0.07%)","42
(0.19%)","18
(0.08%)","166
(0.76%)","1682
(7.75%)","30
(0.13%)","14
(0.06%)","10881
(50.16%)"
#16 მაჟ. ოლქი,"675
(2.88%)","16
(0.06%)","864
(3.69%)","58
(0.24%)","4549
(19.44%)","535
(2.28%)","115
(0.49%)","1626
(6.95%)","695
(2.97%)","10
(0.04%)","43
(0.18%)","59
(0.25%)","12
(0.05%)","14
(0.05%)","33
(0.14%)","67
(0.28%)","160
(0.68%)","12
(0.05%)","18
(0.07%)","33
(0.14%)","214
(0.91%)","1583
(6.76%)","36
(0.15%)","13
(0.05%)","11950
(51.09%)"
#17 მაჟ. ოლქი,"718
(3.39%)","23
(0.1%)","741
(3.5%)","35
(0.16%)","4198
(19.85%)","358
(1.69%)","24
(0.11%)","1644
(7.77%)","918
(4.34%)","5
(0.02%)","57
(0.26%)","56
(0.26%)","13
(0.06%)","11
(0.05%)","8
(0.03%)","41
(0.19%)","128
(0.6%)","12
(0.05%)","10
(0.04%)","1
(0%)","202
(0.95%)","1146
(5.42%)","41
(0.19%)","9
(0.04%)","10744
(50.81%)"
#18 მაჟ. ოლქი,"652
(3.11%)","20
(0.09%)","800
(3.82%)","43
(0.2%)","4700
(22.47%)","375
(1.79%)","79
(0.37%)","1368
(6.54%)","943
(4.5%)","8
(0.03%)","26
(0.12%)","54
(0.25%)","8
(0.03%)","11
(0.05%)","15
(0.07%)","50
(0.23%)","77
(0.36%)","24
(0.11%)","23
(0.1%)","16
(0.07%)","95
(0.45%)","1314
(6.28%)","21
(0.1%)","5
(0.02%)","10183
(48.69%)"
#19 მაჟ. ოლქი,"783
(3.67%)","23
(0.1%)","848
(3.97%)","33
(0.15%)","5095
(23.88%)","374
(1.75%)","35
(0.16%)","1304
(6.11%)","1059
(4.96%)","4
(0.01%)","18
(0.08%)","54
(0.25%)","10
(0.04%)","15
(0.07%)","22
(0.1%)","49
(0.22%)","303
(1.42%)","21
(0.09%)","18
(0.08%)","16
(0.07%)","168
(0.78%)","1423
(6.67%)","25
(0.11%)","12
(0.05%)","9617
(45.08%)"
#20 მაჟ. ოლქი,"645
(3.22%)","26
(0.12%)","750
(3.74%)","26
(0.12%)","5075
(25.35%)","273
(1.36%)","70
(0.34%)","1506
(7.52%)","1044
(5.21%)","2
(0%)","23
(0.11%)","43
(0.21%)","12
(0.05%)","13
(0.06%)","12
(0.05%)","65
(0.32%)","447
(2.23%)","5
(0.02%)","25
(0.12%)","14
(0.06%)","176
(0.87%)","1241
(6.19%)","23
(0.11%)","4
(0.01%)","8498
(42.45%)"
#21 მაჟ. ოლქი,"590
(2.86%)","12
(0.05%)","844
(4.09%)","41
(0.19%)","5479
(26.57%)","323
(1.56%)","44
(0.21%)","1291
(6.26%)","1052
(5.1%)","7
(0.03%)","50
(0.24%)","61
(0.29%)","20
(0.09%)","16
(0.07%)","15
(0.07%)","33
(0.16%)","78
(0.37%)","13
(0.06%)","6
(0.02%)","2
(0%)","172
(0.83%)","1321
(6.4%)","25
(0.12%)","11
(0.05%)","9115
(44.2%)"
#22 მაჟ. ოლქი,"596
(2.78%)","22
(0.1%)","912
(4.26%)","66
(0.3%)","5230
(24.44%)","364
(1.7%)","51
(0.23%)","1521
(7.11%)","992
(4.63%)","7
(0.03%)","31
(0.14%)","53
(0.24%)","11
(0.05%)","10
(0.04%)","20
(0.09%)","40
(0.18%)","67
(0.31%)","16
(0.07%)","14
(0.06%)","5
(0.02%)","143
(0.66%)","1476
(6.89%)","23
(0.1%)","11
(0.05%)","9711
(45.39%)"
#23 მაჟ. ოლქი,"543
(2.68%)","7
(0.03%)","405
(2%)","22
(0.1%)","5271
(26.06%)","192
(0.94%)","167
(0.82%)","2706
(13.38%)","570
(2.81%)","14
(0.06%)","21
(0.1%)","45
(0.22%)","12
(0.05%)","10
(0.04%)","12
(0.05%)","22
(0.1%)","49
(0.24%)","5
(0.02%)","9
(0.04%)","2
(0%)","103
(0.5%)","357
(1.76%)","7
(0.03%)","9
(0.04%)","9662
(47.77%)"
